0 .-(X,Y)
Y=+25
X=+84

1 .-486,32
2 .-444,57
3 .-528,57
4 .-402,82
5 .-486,82
6 .-570,82
7 .-360,107
8 .-444,107
9 .-528,107
10.-612,107
11.-318,132
12.-402,132
13.-486,132
14.-570,132
15.-654,132
16.-360,157
17.-444,157
18.-528,157
19.-612,157
20.-318,182
21.-402,182
22.-486,182
23.-570,182
24.-654,182
25.-360,207
26.-444,207
27.-528,207
28.-612,207
29.-318,232
30.-402,232
31.-486,232
32.-570,232
33.-654,232
34.-360,257
35.-444,257
36.-528,257
37.-612,257
38.-318,282
39.-402,282
40.-486,282
41.-570,282
42.-654,282
43.-360,307
44.-444,307
45.-528,307
46.-612,307
47.-318,332
48.-402,332
49.-486,332
50.-570,332
51.-654,332
52.-360,357
53.-444,357
54.-528,357
55.-612,357
56.-402,382
57.-486,382
58.-570,382
59.-444,407
60.-528,407
61.-486,432
